ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Result Comments,Subject User Number 3,Check
A1234567,1001,10011001,1,,,POINT,1234957,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011001,1,,,POINT,1234958,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011001,1,,,POINT,1234959,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2; To be done on Wednesday,,Data 17,25
A1234567,1001,10011002,2,,,POINT,1234964,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011002,2,,,POINT,1234965,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011002,2,,,POINT,1234966,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2,,Data 17,25
A1234567,1001,10011002,2,,,POINT,1234968,,Data6,Data7,,,Data10,9001,,H,9001,,,m/s,,,,R2D2,,Data 17,31
A1234567,1001,10011003,3,,,POINT,1234971,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011003,3,,,POINT,1234972,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011003,3,,,POINT,1234973,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2,,Data 17,25
A1234567,1001,10011005,4,,,POINT,1234985,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011005,4,,,POINT,1234986,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011005,4,,,POINT,1234987,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2; Delay,,Data 17,25
A1234567,1001,10011006,6,,,POINT,1234992,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011006,6,,,POINT,1234993,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011006,6,,,POINT,1234994,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,25
A1234567,1001,10011006,6,,,POINT,1234995,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,26
A1234567,1001,10011006,6,,,POINT,1234996,,Data6,Data7,,,Data10,9001,,H,9001,,,m/s,,,,2,,Data 17,31
A1234567,1001,10011007,5,,,POINT,1234999,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011007,5,,,POINT,1235000,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,2,,Data 17,24
A1234567,1001,10011007,5,,,POINT,1235001,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2,,Data 17,25
A1234567,1001,10011007,5,,,POINT,1235003,,Data6,Data7,,,Data10,9001,,H,9001,,,m/s,,,,2,,Data 17,31
A1234567,1002,10021001,8,,,POINT,1235027,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1002,10021001,8,,,POINT,1235028,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1002,10021001,8,,,POINT,1235029,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,25
A1234567,1002,10021001,8,,,POINT,1235031,,Data6,Data7,,,Data10,9001,,H,9001,,,m/s,,,,late,,Data 17,31
A1234567,1003,10033001,202,,,POINT,1621447,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1003,10033002,206,,,POINT,1621452,,Data6,Data7,CYCLE,1,Data10,8,,,,,,m/s,,,,,,Data 17,57
A1234567,1003,10033002,206,,,POINT,1621453,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1003,10033003,207,,,POINT,1621458,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1006,10063005,205,,,POINT,1622172,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1006,10063005,205,,,POINT,1622173,,Data6,Data7,CYCLE,1,Data10,8,,,,,,m/s,,,,,,Data 17,57
A1234567,1006,10063005,205,,,POINT,1622174,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1012,10123001,204,,,POINT,1623194,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1012,10123001,204,,,POINT,1623195,,Data6,Data7,CYCLE,1,Data10,8,,,,,,m/s,,,,,,Data 17,57
A1234567,1012,10123001,204,,,POINT,1623196,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1012,10123001,204,,,POINT,1623197,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1008,10083001,201,,,POINT,1622494,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1008,10083001,201,,,POINT,1622495,,Data6,Data7,CYCLE,1,Data10,8,,,,,,m/s,,,,,,Data 17,57
A1234567,1008,10083001,201,,,POINT,1622496,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1008,10083002,203,,,POINT,1622501,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1008,10083002,203,,,POINT,1622502,,Data6,Data7,CYCLE,1,Data10,8,,,,,,m/s,,,,,,Data 17,57
A1234567,1008,10083002,203,,,POINT,1622503,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1008,10083002,203,,,POINT,1622504,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,test Data,,Data 17,59
A1234567,1008,10083001,201,,,POINT,1622497,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,2; exit,,Data 17,59
A1234567,1002,10021001,8,,,POINT,1235030,,Data6,Data7,CYCLE,1,Data10,9999,,,,,,m/s,,,,,,Data 17,26
A1234567,1001,10011009,9,,,POINT,1235013,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,23
A1234567,1001,10011009,9,,,POINT,1235014,,Data6,Data7,CYCLE,1,Data10,8,,,,,,m/s,,,,,,Data 17,24
A1234567,1001,10011009,9,,,POINT,1235015,,Data6,Data7,CYCLE,1,Data10,21,,,,,,m/s,,,,2,,Data 17,25
A1234567,1001,10011009,9,,,POINT,1235016,,Data6,Data7,CYCLE,1,Data10,9999,,,,,,m/s,,,,,,Data 17,26
A1234567,1010,10103002,209,,,POINT,1622851,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1010,10103002,209,,,POINT,1622852,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,2; no data,,Data 17,57
A1234567,1010,10103002,209,,,POINT,1622853,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,2,,Data 17,58
A1234567,1010,10103002,209,,,POINT,1622854,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,exit,,Data 17,59
A1234567,1006,10063005,205,,,POINT,1622175,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1006,10063009,208,,,POINT,1622200,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1006,10063009,208,,,POINT,1622201,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1006,10063009,208,,,POINT,1622202,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1006,10063011,210,,,POINT,1622214,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1006,10063011,210,,,POINT,1622215,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1006,10063011,210,,,POINT,,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1003,10033001,202,,,POINT,1621444,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1003,10033001,202,,,POINT,1621445,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1003,10033001,202,,,POINT,1621446,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1003,10033002,206,,,POINT,,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1003,10033002,206,,,POINT,1621454,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1003,10033003,207,,,POINT,1621459,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1003,10033003,207,,,POINT,1621460,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1003,10033003,207,,,POINT,,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1001,10013001,211,,,POINT,1620744,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1001,10013001,211,,,POINT,1620745,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1001,10013001,211,,,POINT,1620746,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1001,10013001,211,,,POINT,1620747,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1001,10013002,212,,,POINT,1620751,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1001,10013002,212,,,POINT,1620752,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1001,10013002,212,,,POINT,1620753,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1006,10064001,103,,,POINT,1831180,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1006,10064001,103,,,POINT,1831181,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1006,10064001,103,,,POINT,1831182,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1006,10064002,102,,,POINT,1831187,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1006,10064002,102,,,POINT,1831188,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1006,10064002,102,,,POINT,1831189,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1015,10154001,101,,,POINT,1831460,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1015,10154001,101,,,POINT,1831461,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1015,10154001,101,,,POINT,1831462,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1013,10134001,109,,,POINT,1831348,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1013,10134001,109,,,POINT,1831349,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1014,10144001,105,,,POINT,1831404,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1014,10144001,105,,,POINT,1831405,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1014,10144001,105,,,POINT,1831406,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1014,10144002,104,,,POINT,1831411,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1014,10144002,104,,,POINT,1831412,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1014,10144002,104,,,POINT,1831413,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1001,10014001,106,,,POINT,1831012,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1001,10014001,106,,,POINT,1831013,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1001,10014001,106,,,POINT,1831014,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1001,10014002,107,,,POINT,1831019,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1001,10014002,107,,,POINT,1831020,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1001,10014002,107,,,POINT,,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1001,10014004,108,,,POINT,1831033,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1001,10014004,108,,,POINT,1831034,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1002,10024001,115,,,POINT,1831068,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1002,10024001,115,,,POINT,1831069,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1002,10024001,115,,,POINT,1831070,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1006,10063011,210,,,POINT,1622217,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1013,10134001,109,,,POINT,1831351,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1013,10134003,110,,,POINT,1831363,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1013,10134003,110,,,POINT,1831364,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1013,10134005,112,,,POINT,1831376,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1013,10134005,112,,,POINT,1831378,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1014,10144002,104,,,POINT,1831414,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1014,10144003,111,,,POINT,1831418,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1014,10144003,111,,,POINT,1831419,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1014,10144003,111,,,POINT,1831420,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1014,10144003,111,,,POINT,1831421,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
A1234567,1014,10144005,117,,,POINT,1831432,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1002,10024003,118,,,POINT,1831084,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1023,10234001,113,,,POINT,2004088,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1023,10234002,114,,,POINT,2004095,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1023,10234002,114,,,POINT,2004096,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1023,10234002,114,,,POINT,2004097,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1002,10024005,122,,,POINT,1831097,,Data6,Data7,CYCLE,1,Data10,8,,H,0,,,m/s,,,,,,Data 17,57
A1234567,1002,10024005,122,,,POINT,1831096,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1002,10024005,122,,,POINT,1831098,,Data6,Data7,CYCLE,1,Data10,18,,,,,,m/s,,,,,,Data 17,58
A1234567,1002,10024003,118,,,POINT,1831082,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,56
A1234567,1002,10024003,118,,,POINT,1831085,,Data6,Data7,,,Data10,9999,,,,,,m/s,,,,,,Data 17,59
